 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account

 Ground state electric dipole moment in X,Y,Z:    0.000000   -0.000000    0.000002 a.u.

 Transition electric dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
    16    27     0.0000000     0.0000000     0.0000000     0.48590     0.00000
    16    28     0.0000000     0.0000000    -0.3087200     0.49800     0.00116
    16    29    -0.0000000     0.0000000    -0.0000053     0.52960     0.00000
    16    30     1.5220525     0.7779952    -0.0000000     0.55110     0.03945
    17    17     0.0000000    -0.0000000     0.0000023     0.00000     0.00000
    17    18     0.0000000     0.0000000     0.0000000     0.00250     0.00000
    17    19    -0.4717783     1.5867223     0.0000000     0.00720     0.00048
    17    20     0.7229775    -2.4316236    -0.0000000     0.01430     0.00225
    17    21     0.0000000     0.0000000     0.0000000     0.07730     0.00000
    17    22     0.0000000    -0.0000000     0.0000001     0.13180     0.00000
    17    23     0.0000000     0.0000000     0.0000000     0.28560     0.00000
    17    24     0.0000000     0.0000000     0.0000000     0.31480     0.00000
    17    25    -0.0000000    -0.0000000     0.1957647     0.32190     0.00030
    17    26    -0.0000035     0.0000063     0.0000000     0.33910     0.00000
    17    27     0.0000000     0.0000000     0.0000000     0.42990     0.00000
    17    28    -0.0000023    -0.0000017    -0.0000000     0.44200     0.00000
    17    29     4.6519027     1.6860758    -0.0000000     0.47360     0.28408
    17    30    -0.0000000    -0.0000000    -0.0000096     0.49510     0.00000
    18    18     0.0000000    -0.0000000     0.0000078     0.00000     0.00000
    18    19    -0.3822216     1.6975869    -0.0000000     0.00470     0.00035
    18    20    -0.3699589     1.4942322    -0.0000000     0.01180     0.00069
    18    21    -0.0000019    -0.0000014    -0.0000000     0.07480     0.00000
    18    22     0.0000000     0.0000000     0.0000000     0.12930     0.00000
    18    23     0.0000000     0.0000000     0.0000000     0.28310     0.00000
    18    24     0.2811765    -0.7834018     0.0000000     0.31230     0.00530
    18    25     0.0000000    -0.0000000     0.0189784     0.31940     0.00000
    18    26    -0.0000009    -0.0000008    -0.0000000     0.33660     0.00000
    18    27    -0.0000000    -0.0000000     0.0000003     0.42740     0.00000
    18    28    -0.0000013     0.0000016    -0.0000000     0.43950     0.00000
    18    29     0.0000000     0.0000000     0.0000000     0.47110     0.00000
    18    30     0.0000000     0.0000000     0.0000000     0.49260     0.00000
    19    19     0.0000000    -0.0000000     0.0000066     0.00000     0.00000
    19    20    -0.0000000     0.0000000     0.0000022     0.00710     0.00000
    19    21     0.0000000     0.0000000    -0.1612233     0.07010     0.00004
    19    22     0.4636059     0.2766012     0.0000000     0.12460     0.00089
    19    23     0.4104834    -0.9882044     0.0000000     0.27840     0.00781
    19    24    -0.0000000    -0.0000000     0.0000030     0.30760     0.00000
    19    25    -0.0000008    -0.0000042    -0.0000000     0.31470     0.00000
    19    26    -0.0000000     0.0000000     0.2943685     0.33190     0.00070
    19    27    -0.8823383     2.4230370    -0.0000000     0.42270     0.06886
    19    28     0.0000000    -0.0000000     0.1035806     0.43480     0.00011
    19    29     0.0000000     0.0000000     0.0000044     0.46640     0.00000
    19    30    -2.4554745    -0.7712438     0.0000000     0.48790     0.07918
    20    20     0.0000000    -0.0000000     0.0000045     0.00000     0.00000
    20    21     0.0000000     0.0000000    -0.0655335     0.06300     0.00001
    20    22    -0.6402943    -0.3757801    -0.0000000     0.11750     0.00159
    20    23    -0.5623042     1.3537001    -0.0000000     0.27130     0.01428
    20    24    -0.0000000    -0.0000000     0.0000020     0.30050     0.00000
    20    25     0.0000023     0.0000026     0.0000000     0.30760     0.00000
    20    26    -0.0000000     0.0000000     0.2068669     0.32480     0.00034
    20    27    -0.5982889     1.6355131    -0.0000000     0.41560     0.03088
    20    28    -0.0000000     0.0000000    -0.2375445     0.42770     0.00059
    20    29    -0.0000000    -0.0000000    -0.0000068     0.45930     0.00000
    20    30     3.7544240     1.1893506    -0.0000000     0.48080     0.18270
    21    21     0.0000000     0.0000000     0.0000021     0.00000     0.00000
    21    22     0.0000000     0.0000000     0.0000000     0.05450     0.00000
    21    23    -0.0000064     0.0000193    -0.0000000     0.20830     0.00000
    21    24    -0.0000000    -0.0000000     0.3449804     0.23750     0.00069
    21    25     0.0000000     0.0000000     0.0000000     0.24460     0.00000
    21    26    -0.0000000     0.0000000    -0.0000083     0.26180     0.00000
    21    27     0.0000000     0.0000000     0.0000000     0.35260     0.00000
    21    28     0.0000000     0.0000000    -0.0000001     0.36470     0.00000
    21    29     0.0000000     0.0000000     0.0102238     0.39630     0.00000
    21    30    -0.0000041     0.0000073     0.0000000     0.41780     0.00000
    22    22     0.0000000     0.0000000     0.0000060     0.00000     0.00000
    22    23     0.0000000     0.0000000    -0.0000004     0.15380     0.00000
    22    24     0.0000000     0.0000000     0.0000000     0.18300     0.00000
    22    25    -0.0000000     0.0000000     0.3129908     0.19010     0.00046
    22    26     0.0000059    -0.0000178     0.0000000     0.20730     0.00000
    22    27     0.0000000     0.0000000     0.0000000     0.29810     0.00000
    22    28     0.0000009     0.0000042     0.0000000     0.31020     0.00000
    22    29     0.4151925    -0.9985877    -0.0000000     0.34180     0.00979
    22    30    -0.0000000     0.0000000    -0.0000000     0.36330     0.00000
    23    23    -0.0000000     0.0000000     0.0000030     0.00000     0.00000
    23    24     0.0000000     0.0000000     0.0000000     0.02920     0.00000
    23    25     0.0000000     0.0000000    -0.1026131     0.03630     0.00001
    23    26     0.0000000     0.0000000     0.0000000     0.05350     0.00000
    23    27     0.0000000     0.0000000     0.0000000     0.14430     0.00000
    23    28     0.0000010    -0.0000008     0.0000000     0.15640     0.00000
    23    29     0.5793005     0.4234271    -0.0000000     0.18800     0.00237
    23    30     0.0000000     0.0000000     0.0000001     0.20950     0.00000
    24    24     0.0000000    -0.0000000    -0.0000030     0.00000     0.00000
    24    25     0.0000018    -0.0000043    -0.0000000     0.00710     0.00000
    24    26    -0.0000000     0.0000000    -0.3399797     0.02430     0.00007
    24    27    -0.6086626     1.6845787    -0.0000000     0.11510     0.00905
    24    28    -0.0000000    -0.0000000     0.0905578     0.12720     0.00003
    24    29     0.0000000     0.0000000     0.0000000     0.15880     0.00000
    24    30     0.0000000     0.0000000     0.0000000     0.18030     0.00000
    25    25     0.0000000    -0.0000000     0.0000077     0.00000     0.00000
    25    26     0.0000000     0.0000000     0.0000000     0.01720     0.00000
    25    27    -0.0000000    -0.0000000    -0.0060499     0.10800     0.00000
    25    28     0.1793939    -0.5339018    -0.0000000     0.12010     0.00093
    25    29     0.0000038    -0.0000016     0.0000000     0.15170     0.00000
    25    30     0.0000000    -0.0000000    -0.0460310     0.17320     0.00001
    26    26     0.0000000    -0.0000000     0.0000057     0.00000     0.00000
    26    27     0.0000000     0.0000000     0.0000000     0.09080     0.00000
    26    28    -0.0000000    -0.0000000    -0.0000019     0.10290     0.00000
    26    29    -0.0000000     0.0000000    -0.0059501     0.13450     0.00000
    26    30     0.0000000     0.0000000     0.0000000     0.15600     0.00000
    27    27     0.0000000    -0.0000000     0.0000109     0.00000     0.00000
    27    28     0.0000008     0.0000005    -0.0000000     0.01210     0.00000
    27    29     0.0000000     0.0000000     0.0000000     0.04370     0.00000
    27    30     0.0000000     0.0000000     0.0000000     0.06520     0.00000
    28    28     0.0000000    -0.0000000     0.0000075     0.00000     0.00000
    28    29    -0.0000000    -0.0000000     0.2731621     0.03160     0.00006
    28    30    -0.0000053     0.0000034    -0.0000000     0.05310     0.00000
    29    29    -0.0000000     0.0000000     0.0000046     0.00000     0.00000
    29    30     0.4662287    -0.6453152     0.0000000     0.02150     0.00033
    30    30    -0.0000000     0.0000000     0.0000045     0.00000     0.00000
