 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account

 Ground state electric dipole moment in X,Y,Z:    0.000000   -0.000000    0.000002 a.u.

 Transition electric dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     2    28    -0.0000000    -0.0000000     0.0000006     3.11770     0.00000
     2    29     0.0000000    -0.0000000    -0.0624570     3.14930     0.00030
     2    30     0.0000000     0.0000000     0.0000000     3.17080     0.00000
     3     3     0.0000000    -0.0000000     0.0000106     0.00000     0.00000
     3     4    -1.0730372     3.3381233     0.0000000     0.01300     0.00392
     3     5     0.2019781     0.0888642     0.0000000     0.68370     0.00082
     3     6     0.0000000    -0.0000000     0.0000023     1.24790     0.00000
     3     7     0.0000000    -0.0000000     0.0361269     1.27980     0.00004
     3     8     0.8784755    -2.6340358    -0.0000000     1.31100     0.24763
     3     9    -0.0000037     0.0000111    -0.0000000     1.38400     0.00000
     3    10    -0.0000031     0.0000088     0.0000000     1.47470     0.00000
     3    11    -0.0000035    -0.0000007     0.0000000     1.59680     0.00000
     3    12     0.3264991    -0.4606580     0.0000000     1.62160     0.01267
     3    13     0.0000000     0.0000000    -0.0110158     1.74320     0.00001
     3    14    -0.0000000     0.0000000    -0.0000010     1.78770     0.00000
     3    15     0.1251866    -0.0752156     0.0000000     1.87580     0.00098
     3    16    -0.0000000     0.0000000     0.0453095     2.00520     0.00010
     3    17    -0.0000001    -0.0000032    -0.0000000     2.06120     0.00000
     3    18    -0.0000007     0.0000012     0.0000000     2.06370     0.00000
     3    19     0.0000000    -0.0000000     0.0313051     2.06840     0.00005
     3    20    -0.0000000     0.0000000    -0.0428587     2.07550     0.00009
     3    21     0.0000000     0.0000000     0.0000000     2.13850     0.00000
     3    22    -0.0000012    -0.0000021    -0.0000000     2.19300     0.00000
     3    23    -0.0000020     0.0000025     0.0000000     2.34680     0.00000
     3    24     0.0000000     0.0000000     0.0018992     2.37600     0.00000
     3    25    -0.0958529     0.9790325    -0.0000000     2.38310     0.05650
     3    26     0.0000000     0.0000000     0.0000000     2.40030     0.00000
     3    27    -0.0000000     0.0000007     0.0000000     2.49110     0.00000
     3    28     0.0000000    -0.0000000    -0.0000011     2.50320     0.00000
     3    29    -0.0000000    -0.0000000    -0.0549151     2.53480     0.00019
     3    30    -0.0000001    -0.0000014    -0.0000000     2.55630     0.00000
     4     4     0.0000000    -0.0000000     0.0000106     0.00000     0.00000
     4     5    -0.0000000     0.0000000    -0.0000010     0.67070     0.00000
     4     6    -0.8882394     2.7971791     0.0000000     1.23490     0.26059
     4     7     0.0000045    -0.0000137     0.0000000     1.26680     0.00000
     4     8     0.0000000    -0.0000000    -0.0000023     1.29800     0.00000
     4     9     0.0000000    -0.0000000    -0.0300449     1.37100     0.00003
     4    10    -0.0000000     0.0000000    -0.0144103     1.46170     0.00001
     4    11     0.0000000     0.0000000     0.0007125     1.58380     0.00000
     4    12     0.0000000    -0.0000000     0.0000001     1.60860     0.00000
     4    13     0.0000000    -0.0000016     0.0000000     1.73020     0.00000
     4    14     0.3357322     0.2323749    -0.0000000     1.77470     0.00725
     4    15    -0.0000000    -0.0000000    -0.0000001     1.86280     0.00000
     4    16     0.0000017    -0.0000040    -0.0000000     1.99220     0.00000
     4    17    -0.0000000     0.0000000    -0.0472033     2.04820     0.00011
     4    18     0.0000000    -0.0000000    -0.0062366     2.05070     0.00000
     4    19     0.0000038     0.0000032     0.0000000     2.05540     0.00000
     4    20     0.0000016    -0.0000001    -0.0000000     2.06250     0.00000
     4    21     0.0000000     0.0000000     0.0000000     2.12550     0.00000
     4    22    -0.0000000     0.0000000     0.0160630     2.18000     0.00001
     4    23     0.0000000     0.0000000    -0.1072287     2.33380     0.00066
     4    24     0.0000012     0.0000033     0.0000000     2.36300     0.00000
     4    25     0.0000000    -0.0000000     0.0000001     2.37010     0.00000
     4    26     0.0000000     0.0000000     0.0000000     2.38730     0.00000
     4    27     0.0000000    -0.0000000     0.0163764     2.47810     0.00002
     4    28     0.6863003    -1.5912775     0.0000000     2.49020     0.18322
     4    29    -0.0000001    -0.0000015    -0.0000000     2.52180     0.00000
     4    30    -0.0000000    -0.0000000    -0.0394484     2.54330     0.00010
     5     5     0.0000000    -0.0000000     0.0000095     0.00000     0.00000
     5     6     0.5960411    -0.9461603    -0.0000000     0.56420     0.01729
     5     7    -0.0000011     0.0000020     0.0000000     0.59610     0.00000
     5     8     0.0000000    -0.0000000     0.0000020     0.62730     0.00000
     5     9    -0.0000000     0.0000000     0.0129258     0.70030     0.00000
     5    10     0.0000000    -0.0000000     0.0148218     0.79100     0.00000
     5    11    -0.0000000     0.0000000     0.0040354     0.91310     0.00000
     5    12     0.0000000    -0.0000000    -0.0000014     0.93790     0.00000
     5    13    -0.0000003    -0.0000003    -0.0000000     1.05950     0.00000
